ticker,sector,model,intercept,coef_1,coef_2,coef_3,coef_4
SCLN,GICS_35,FF3,0.011888,1.42786,2.005607,-0.803712,
RARE,GICS_35,FF3,0.016645,1.001617,0.670349,0.073473,
WPI,GICS_35,FF3,0.006613,0.411876,0.187854,-0.012449,
ZONA,GICS_35,FF3,0.053277,1.290122,0.143175,-1.283226,
AZN,GICS_35,FF3,0.005567,0.582272,-0.481164,0.060898,
INCY,GICS_35,FF3,0.008505,1.160498,2.604636,-1.102026,
NSTK,GICS_35,FF3,0.006025,1.43748,1.451536,-0.173443,
RMD,GICS_35,FF3,0.014031,0.462521,0.792248,-0.178917,
MYGN,GICS_35,FF3,0.007665,0.696075,2.115861,-1.037008,
IPXL,GICS_35,FF3,0.017025,1.145575,-0.064324,0.06082,
NBIX,GICS_35,FF3,0.012839,0.549883,1.602083,-1.214259,
QGENF,GICS_35,FF3,-0.001078,1.853864,1.599242,0.117942,
CERS,GICS_35,FF3,0.000568,1.554181,1.136941,0.244736,
EPIX,GICS_35,FF3,-0.008425,1.904436,1.693796,0.237683,
CTIC,GICS_35,FF3,-0.006113,2.540412,2.394705,-0.602116,
AVII,GICS_35,FF3,0.007893,0.849105,2.425552,-0.890707,
ADSK,GICS_35,FF3,0.010718,1.508297,0.640078,-0.034898,
DMI,GICS_35,FF3,-0.014272,0.971984,1.882424,1.78388,
SHPGY,GICS_35,FF3,0.010833,0.796629,0.286026,-0.428715,
HCM,GICS_35,FF3,0.008348,0.267967,0.37438,0.131933,
ICPT,GICS_35,FF3,0.025199,1.004601,0.349331,-0.336757,
CNC,GICS_35,FF3,0.002297,1.097382,0.450184,-0.151748,
UTHR,GICS_35,FF3,0.011874,0.368307,1.277258,-0.4711,
BMRN,GICS_35,FF3,0.009449,0.89405,1.431572,-1.014231,
